f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
145719,208923,171480,1540.67,6066.3,3.66667,107.402,53912.9,18,42,38,161,3801.27,3469.5,155.845,166.605,0.4,31.2,0.235294,0.849775,0.253972,0.62662,15.5391,4.90909
151412,267344,207694,1722.55,6874.14,3.69811,103.909,33329.2,18,53,26,209,4870.22,2856.84,154.273,165,0.358974,18,0.261905,0.729016,0.250584,0.708485,11.6665,4.86735
197356,389327,272836,1946.41,7642.95,3.77358,102.279,26590.4,15,53,31,235,5695.04,3723.7,157.694,164.323,0.472222,17.0769,0.204545,0.723349,0.254667,0.745136,7.14087,3.975
131415,313040,228154,1792.03,5121.4,3.28,108.623,10935.9,10,50,19,241,5926.79,2628.3,159.456,155.211,0.388889,29.125,0.428571,0.575993,0.34991,1.15726,4.16081,3.04878
126497,243432,173520,1534.14,4957.68,3.25581,100.742,32047.4,15,43,25,205,4719.49,2941.78,149.249,165.16,0.34375,11.8125,0.30303,0.729005,0.309447,0.951955,10.8939,4.60714
216547,332800,270836,1966.26,8453.84,4.14634,103.558,62458,23,41,36,220,4684.93,5281.63,143.923,165.778,0.322581,17.3333,0.171429,0.799548,0.232588,0.554178,11.8255,5.54706
135542,241605,178473,1568.61,4911.6,3.54286,97.2921,32685.1,15,35,31,183,4288.26,3872.63,155.503,163.065,0.346154,17.3,0.25,0.759453,0.319368,0.873088,8.44004,4.23387
210223,325280,271244,1928.64,7917.9,3.90476,105.098,76453.8,22,42,37,218,4889.61,5005.3,152.445,166.946,0.555556,26.25,0.166667,0.775031,0.243579,0.617538,15.2746,5.63415
264712,535896,408356,2404.36,10742.4,3.91667,106.329,48305.1,15,72,30,257,6699.98,3676.55,150.385,165.533,0.531915,31.125,0.2,0.648238,0.223819,0.623695,13.1387,3.82979
201055,290759,227203,1732.12,8645.53,3.70833,106.792,96211.3,27,48,42,186,4271.02,4188.64,151.339,167.357,0.411765,14.5,0.170732,0.884912,0.200349,0.494014,22.9696,7.2809
465851,730635,545202,2840.06,21037,4.17822,114.776,33979.5,16,101,58,298,7482.07,4612.39,156.077,171.172,0.246914,28.8,0.134831,0.854456,0.135003,0.355662,7.367,3.82938
289819,488684,348356,2274.99,12900.8,4.05479,110.466,58106.9,18,73,49,244,6011.65,3970.12,156.791,172.367,0.258621,16.4286,0.177419,0.831961,0.176345,0.46599,14.6361,4.43919
284435,493751,343364,2260.77,10095.7,3.73913,104.492,17671.5,8,69,50,271,6454.34,4122.25,152.284,172.7,0.682927,15.9375,0.210526,0.82838,0.223935,0.639318,4.28685,2.13953
451654,739784,552714,3023.74,20618,4.14141,109.804,32685.1,12,99,74,340,7893.52,4562.16,156.447,174.108,0.2375,21.6667,0.151163,0.817157,0.146655,0.382846,7.16439,2.89756
238912,440914,288834,2027.28,8642.59,3.63077,108.994,53912.9,6,65,47,246,6227.69,3675.57,155.512,171.702,0.444444,17.9231,0.160714,0.827161,0.234568,0.720581,14.6679,1.65254
160245,386100,310072,2063.85,5845.42,3.40741,102.623,11309.7,9,54,26,336,7713.71,2967.5,148.518,164.577,0.459459,12.44,0.384615,0.516798,0.353072,1.31962,3.81121,2.6413
148902,257335,196871,1657.04,5454.28,3.55,104.569,22167.1,13,40,30,194,4685.26,3722.56,153.531,165.467,0.290323,15.1667,0.25,0.756346,0.303806,0.859008,5.95479,3.66197
194985,288904,224838,1741.11,9684.98,3.90769,106.815,34636.1,18,65,44,200,4600.38,2999.77,150.875,167.795,0.354167,17.1818,0.181818,0.867224,0.179774,0.475002,11.5462,4.6063
141290,266682,208990,1695.4,4487.75,3.51515,105.193,33329.2,10,33,33,201,4885.86,4281.51,145.687,164.091,0.375,10.8235,0.222222,0.67606,0.377783,1.08871,7.78444,2.84483
146385,209952,171842,1540.86,6747.57,3.86957,102.386,53912.9,20,46,41,161,3790.65,3182.28,154.267,170.951,0.483871,31.2,0.179487,0.851857,0.228357,0.56178,16.9416,5.16854
134968,209466,170697,1538.84,5862.86,3.94737,100.628,52279.2,18,38,41,171,3829.07,3551.8,155.117,171.244,0.52,23.4286,0.225806,0.79069,0.262473,0.653106,14.7191,4.56
147957,265727,207974,1722.62,6340.72,3.68627,103.409,28952.9,16,51,27,206,4892.53,2901.13,154.786,165.963,0.416667,17.7273,0.275,0.711421,0.271676,0.771605,9.97989,4.34043
199778,390600,274610,1951.19,7906.52,3.78182,98.2549,33329.2,17,55,32,237,5701.65,3632.33,154.882,168.875,0.617647,13.8125,0.195652,0.727497,0.246782,0.721134,9.17569,4.49519
129191,315120,228557,1796.39,5015.13,3.34694,106.183,20106.2,10,49,18,245,5973.61,2636.54,155.661,153.111,0.4,16.5,0.441176,0.565245,0.358193,1.19112,7.62596,2.9878
128006,243972,174852,1539.43,4961.38,3.30233,101.111,32047.4,14,43,27,198,4741.61,2976.88,152.071,165.741,0.34375,23.75,0.30303,0.732078,0.310283,0.955703,10.7654,4.23944
216485,331911,271630,1967.21,6806.24,3.94118,100.62,54739.1,17,34,42,224,4730.83,6367.2,144.759,167.619,0.478261,17.6667,0.172414,0.796983,0.28903,0.695073,8.59704,4.31343
137003,242136,178919,1569.92,5045.27,3.52632,100.948,32685.1,15,38,30,182,4286.28,3605.35,152.533,166.267,0.310345,15.5455,0.225806,0.765727,0.311166,0.849564,9.06574,4.25373
210225,326808,271607,1929.06,8541.7,4.04545,104.44,77437.1,24,44,36,217,4887.91,4777.84,151.253,166.417,0.222222,30,0.157895,0.774004,0.22584,0.572241,16.2076,5.93258
264694,537192,408958,2407.22,9728.04,3.77049,106.349,43743.5,16,61,33,263,6693.01,4339.25,151.654,164.364,0.605263,20.9167,0.22,0.64724,0.247451,0.688012,10.0809,4.24348
198303,291328,227124,1732.11,8953.79,3.79592,106.036,92940.9,27,49,44,190,4276.71,4047,150.126,168.341,0.361111,22.75,0.166667,0.873107,0.19345,0.477642,22.9654,7.1129
468917,737300,549580,2850.64,20164.9,4.20833,113.062,58964.6,20,96,61,302,7517.83,4884.55,155.646,174,0.230769,22.2308,0.116279,0.853228,0.141366,0.372817,12.0717,4.75248
291338,487816,348600,2275.88,11658.4,4.02899,106.545,21642.4,10,69,45,246,6003.61,4222.3,155.837,170.711,0.254545,17.9231,0.189655,0.83574,0.195213,0.514958,5.12575,2.48201
281959,493751,343101,2258.7,10973,3.72603,103.945,60698.7,15,73,49,258,6444.98,3862.45,153.872,171.898,0.489796,22.4545,0.196721,0.821796,0.205843,0.587351,15.7151,4.02574
