f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
153022,206880,157564,1433.92,6654.96,3.73585,111.414,12469,8,53,63,172,4001.43,156.279,156.279,171.714,0.432432,20.5,0.261905,0.97117,0.215467,0.60127,4.3187,2.14141
117190,159201,126290,1270.65,4062.07,2.38961,125.092,706.858,2,77,58,285,6386.07,148.4,148.4,171.397,0.45283,14.8333,0.509804,0.92794,0.312808,1.57212,0.464443,0.836957
164731,216104,170232,1471.01,6333.83,3.13433,118.035,1520.53,2,67,77,221,5265.09,157.959,157.959,173.078,0.367347,17.4167,0.34,0.967681,0.232246,0.831265,0.618437,0.638095
309152,396896,318670,2008.13,13047.9,3.34752,119.861,3631.68,4,141,79,394,9593.27,156.784,156.784,174.544,0.5,27.1429,0.39604,0.970133,0.153905,0.735237,1.65636,1.19492
266785,355908,277352,1893.54,10438.4,3.37255,114.091,6361.73,5,102,77,305,7558.67,158.807,158.807,173.052,0.5,24.4167,0.378378,0.961899,0.181402,0.724124,2.43228,1.48256
259705,369135,288880,1991.73,10122.2,3.18584,119.623,5281.02,4,113,57,350,8893.13,159.82,159.82,172.614,0.43038,25.9231,0.43038,0.899008,0.19677,0.878581,2.29782,1.25556
228915,303408,236216,1734.43,8775.14,3.59322,113.766,43743.5,13,59,84,203,5064.34,158.867,158.867,173.857,0.340909,12.5333,0.204082,0.969088,0.197652,0.577124,11.2744,3.61792
240935,318600,250408,1781.13,10203.8,3.27928,121.984,2290.22,3,111,76,339,7738.95,153.15,153.15,174.329,0.405063,20.1875,0.337349,0.962168,0.174556,0.758439,1.05512,0.914835
246097,311581,251338,1793.29,10551.4,3.47059,116.353,2463.01,4,102,77,273,6854.21,163.601,163.601,173.169,0.478261,53.6,0.324675,0.97915,0.169958,0.649604,1.02084,1.15254
213126,275307,219716,1674.71,9101.56,3.69014,113.445,13684.8,8,71,76,210,5399.94,159.914,159.914,174.276,0.44898,34,0.245614,0.970006,0.184003,0.593299,4.55889,2.16794
