f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
78093.4,269240,187052,1721.53,2798.64,3.03448,120.661,16741.5,9,29,8,172,4171.92,159.75,159.75,134.875,0.45,33.4,0.45,0.417497,0.615132,1.4907,6.21698,2.96591
64545.6,304818,159980,1612.77,3000.42,3.05556,121.257,14102.6,13,36,7,169,3925.88,149.249,149.249,121,0.384615,11.0714,0.333333,0.403459,0.537517,1.30845,7.86567,4.25455
79752.8,403312,210614,1876.24,3254.72,3.14286,119.853,18145.8,13,35,5,197,4536.23,150.274,150.274,95,0.296296,13.0714,0.4,0.378667,0.576468,1.39374,7.96341,4.13636
75043.3,291870,145236,1778.68,3421.41,3.16667,123.628,21642.4,13,36,8,151,3774.98,163.146,163.146,134.875,0.333333,36.75,0.285714,0.516697,0.519867,1.10334,10.3824,4.10526
90963.3,426400,299048,2059.55,3650.78,2.7451,132.236,15836.8,11,51,8,271,6616.14,150.756,150.756,134.875,0.59375,10.7826,0.307692,0.304176,0.564139,1.81225,8.87913,4.00714
118897,312759,235951,1825.34,5073.83,3.24444,117.406,26015.5,18,45,12,221,5341.08,162.29,162.29,143.75,0.363636,35.8333,0.323529,0.503905,0.359755,1.05267,9.84635,5.54795
48000.2,175824,123027,1301.58,1800.43,2.64,116.854,15836.8,10,25,9,193,4182.12,143.565,143.565,130.556,0.666667,9.15789,0.315789,0.39016,0.722923,2.32284,8.24828,3.78788
92825.7,364868,245155,1857.73,3655.37,2.86957,117.5,15836.8,12,46,10,255,5827.87,154.075,154.075,138.9,0.586207,18.6154,0.4375,0.378641,0.50822,1.59433,7.84795,4.18182
79926.4,262636,205508,1722.37,3901.41,3.22727,115.735,21642.4,17,44,9,215,5072.99,152.995,152.995,132.667,0.466667,15.5385,0.333333,0.388922,0.441475,1.3003,11.9143,5.26761
178280,539570,367998,2351.29,6938.86,3.26923,117.356,56410.4,18,52,7,285,6067.38,147.502,147.502,118.857,0.333333,13.25,0.238095,0.484459,0.338858,0.874407,16.4536,5.50588
92796.2,329904,236374,1823.77,3711.02,2.93023,119.036,24328.5,14,43,9,235,5622.11,151.072,151.072,128.333,0.653846,10.75,0.387097,0.392582,0.491446,1.51498,11.2734,4.77778
126623,390616,298272,2047.94,5341.14,3.21569,114.991,35298.9,17,51,9,292,6093.24,138.185,138.185,130.889,0.416667,7.58824,0.342105,0.424523,0.383427,1.14081,14.2173,5.28659
456668,894688,682528,3262.39,19787,4.02299,113.236,174974,32,87,6,245,7564.22,169.143,169.143,107.833,0.225352,80.6667,0.12987,0.669082,0.164876,0.382283,33.3344,7.95429
192567,728994,540136,2907.28,7409.37,3.25424,113.714,53092.9,18,59,6,353,7736.36,148.099,148.099,108,0.311111,11.1724,0.282609,0.356516,0.392378,1.04413,16.2669,5.53125
198245,693517,507314,2783.31,8413.93,3.36986,119.659,59828.5,17,73,6,343,7385.03,155.732,155.732,103.5,0.403846,27.5833,0.216667,0.390774,0.330798,0.877714,22.0307,5.04472
100718,393808,252776,1906.5,3803.38,2.90476,119.914,22167.1,12,42,9,263,5984.7,153.696,153.696,128,0.615385,15.4375,0.354839,0.398445,0.501266,1.57352,9.24383,4.13115
